name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Quintana, Jose",500779,2023,319,234,0.26,0.275,-0.015,0.363,0.424,-0.061,0.297,0.327,-0.03,3.57,4.55,-0.982
"Gibaut, Ian",664139,2023,318,216,0.245,0.237,0.008,0.365,0.37,-0.005,0.298,0.299,-0.001,3.33,3.74,-0.41
"Manning, Matt",666159,2023,316,239,0.212,0.269,-0.057,0.375,0.502,-0.127,0.281,0.355,-0.074,3.58,5.48,-1.903
"Richards, Trevor",670950,2023,315,173,0.228,0.201,0.027,0.424,0.368,0.056,0.318,0.292,0.026,4.95,3.55,1.404
"Wilson, Bryse",669060,2023,314,229,0.211,0.246,-0.035,0.377,0.407,-0.03,0.281,0.308,-0.027,2.58,3.98,-1.397
"Fried, Max",608331,2023,311,211,0.242,0.217,0.025,0.343,0.316,0.027,0.279,0.257,0.022,2.55,2.73,-0.181
"Skubal, Tarik",669373,2023,310,191,0.199,0.197,0.002,0.298,0.29,0.008,0.238,0.236,0.002,2.8,2.3,0.501
"Rogers, Tyler",643511,2023,309,225,0.236,0.22,0.016,0.368,0.307,0.061,0.284,0.257,0.027,3.04,2.73,0.311
"Farmer, Buck",571656,2023,309,206,0.214,0.221,-0.007,0.402,0.408,-0.006,0.303,0.311,-0.008,4.2,4.07,0.13
"Brash, Matt",666374,2023,308,166,0.242,0.21,0.032,0.323,0.305,0.018,0.292,0.28,0.012,3.06,3.25,-0.193
"Scott, Tanner",656945,2023,307,175,0.191,0.205,-0.014,0.264,0.274,-0.01,0.236,0.246,-0.01,2.31,2.5,-0.192
"Bickford, Phil",641360,2023,304,185,0.23,0.241,-0.011,0.393,0.425,-0.032,0.319,0.335,-0.016,4.95,4.8,0.146
"Hoeing, Bryan",663773,2023,304,224,0.259,0.271,-0.012,0.504,0.488,0.016,0.347,0.35,-0.003,5.48,5.3,0.176
"Whitlock, Garrett",676477,2023,304,216,0.288,0.273,0.015,0.502,0.46,0.042,0.35,0.329,0.021,5.15,4.61,0.539
"Merryweather, Julian",657240,2023,303,168,0.219,0.211,0.008,0.332,0.349,-0.017,0.291,0.298,-0.007,3.38,3.71,-0.335
"Boyd, Matthew",571510,2023,303,203,0.25,0.244,0.006,0.424,0.419,0.005,0.322,0.317,0.005,5.45,4.24,1.211
"Contreras, Roansy",672710,2023,302,214,0.282,0.279,0.003,0.466,0.453,0.013,0.357,0.355,0.002,6.58,5.48,1.105
"Clase, Emmanuel",661403,2023,302,221,0.242,0.234,0.008,0.327,0.353,-0.026,0.265,0.271,-0.006,3.22,3.04,0.18
"Grove, Michael",675627,2023,302,207,0.296,0.273,0.023,0.5,0.465,0.035,0.363,0.341,0.022,6.13,5,1.13
"Pallante, Andre",669467,2023,302,226,0.286,0.26,0.026,0.414,0.358,0.056,0.341,0.314,0.027,4.76,4.16,0.605
"Hernández, Carlos",672578,2023,301,191,0.233,0.252,-0.019,0.425,0.435,-0.01,0.319,0.332,-0.013,5.27,4.7,0.571
"McGough, Scott",543518,2023,301,183,0.226,0.238,-0.012,0.44,0.409,0.031,0.318,0.317,0.001,4.74,4.24,0.495
"Morgan, Eli",669212,2023,299,199,0.267,0.244,0.023,0.414,0.402,0.012,0.322,0.307,0.015,4.01,3.96,0.05
"Barlow, Scott",605130,2023,299,181,0.242,0.236,0.006,0.337,0.34,-0.003,0.299,0.3,-0.001,4.37,3.77,0.598
"Montero, Rafael",606160,2023,298,187,0.279,0.246,0.033,0.479,0.425,0.054,0.359,0.329,0.03,5.08,4.61,0.469
"Stephan, Trevor",663986,2023,294,188,0.245,0.242,0.003,0.389,0.411,-0.022,0.311,0.327,-0.016,4.06,4.55,-0.487
